Rua Jaó,818,,São Paulo,SP,Vila Isa,04689-060
Rua Alaor,4389,,São Paulo,SP,Vila Carmosina,08290-200
Rua Paola,4663,,São Paulo,SP,Recanto Marisa,04851-103
Rua Leão,4824,,São Paulo,SP,Cidade Satélite Santa Bárbara,08330-420
Rua Fajão,4902,,São Paulo,SP,Jardim Presidente,04830-120
Rua Othão,2662,,São Paulo,SP,Vila Leopoldina,05313-020
Rua União,4212,,São Paulo,SP,Jardim São Bento Novo,05882-365
Rua Catão,1046,72,São Paulo,SP,Vila Romana,05049-901
Rua Paião,393,,São Paulo,SP,Parque Colonial,04610-070
Rua Japão,3732,,São Paulo,SP,Itaim Bibi,04530-070
Rua Lapão,3509,,São Paulo,SP,Vila Santos,02637-070
Rua Bilbao,3317,,São Paulo,SP,Vila Capela,04415-010
Rua Verão,4103,,São Paulo,SP,Parque das Flores,08391-594
Rua Catão,3586,,São Paulo,SP,Vila Romana,05049-000
Rua Ipaobi,3501,,São Paulo,SP,Vila Babilônia,04351-050
Rua Baobab,394,,São Paulo,SP,Jardim das Camélias,08050-650
Rua Airão,3503,,São Paulo,SP,Vila Medeiros,02214-070
Rua União,3623,,São Paulo,SP,Vila Iolanda II,08473-695
Rua União,2494,,São Paulo,SP,Jardim Monte Verde,04851-502
Rua União,2978,,São Paulo,SP,Parque Novo Mundo,02175-050
Rua União,786,,São Paulo,SP,Jardim Miriam,08143-270
Rua Matão,1526,,São Paulo,SP,Quarta Parada,03330-020
Rua Catão,2044,275,São Paulo,SP,Vila Romana,05049-900
Rua Timão,1300,,São Paulo,SP,Terceira Divisão,08383-015
Rua Japão,1806,,São Paulo,SP,Parque das Flores,08391-578
Rua Pavão,252,(Cond Vargem Grande),São Paulo,SP,Colônia (Zona Sul),04895-350
Rua União,625,,São Paulo,SP,Vila Iolanda II,08473-425
Rua Gabão,1320,,São Paulo,SP,Jardim Miriam,04417-220
Rua Plutão,4808,,São Paulo,SP,Cidade Satélite Santa Bárbara,08331-050
Rua Durião,4924,,São Paulo,SP,Jardim Santa Maria,03575-070
Rua Bailão,2400,,São Paulo,SP,Jardim Palmares (Zona Norte),02328-060
Rua Camaoí,761,,São Paulo,SP,Jardim Leonor Mendes de Barros,02349-100
Rua Caopiá,1710,,São Paulo,SP,Jardim Guairaca,03244-070
Rua Faisão,3641,,São Paulo,SP,Sítio Itaberaba II,05270-200
Rua Aragão,4320,de 611/612 ao fim,São Paulo,SP,Vila Mazzei,02308-001
Rua Suarão,2673,,São Paulo,SP,Vila Prudente,03137-090
Rua Areião,761,,São Paulo,SP,Chácara Santo Antônio (Zona Leste),03410-020
Rua Viamão,4785,,São Paulo,SP,Vila Maria Alta,02134-070
Rua Rincão,3066,,São Paulo,SP,Vila Esperança,03651-080
Rua Faisão,4614,,São Paulo,SP,Vila Madalena,05433-030
Rua Itaobim,1421,,São Paulo,SP,Jardim Tietê,03946-080
Rua Cibrão,4754,,São Paulo,SP,Vila América,05785-060
Rua Aragão,2968,até 609/610,São Paulo,SP,Vila Mazzei,02308-000
Rua Itaóca,2460,,São Paulo,SP,Chácara Inglesa,04140-090
Rua Taiaoba,2710,,São Paulo,SP,Parque Santa Amélia,08122-340
Rua Pinhão,324,,São Paulo,SP,Perus,05215-340
Rua Cipião,1641,,São Paulo,SP,Vila Romana,05047-060
Rua Zircão,4943,,São Paulo,SP,Jardim Capão Redondo,05882-240
Rua Gavião,1507,,São Paulo,SP,Recanto Paraíso,05210-080
Rua Banzão,2814,,São Paulo,SP,Vila Sílvia,03821-160
Avenida Um,2283,,São Paulo,SP,Parque Santo Antônio,05823-075
Avenida Um,545,,São Paulo,SP,Jardim Cidade Pirituba,02945-286
Avenida Ede,419,de 505/506 ao fim,São Paulo,SP,Vila Ede,02203-001
Avenida Ede,2769,até 503/504,São Paulo,SP,Vila Ede,02203-000
Avenida Arno,3121,,São Paulo,SP,Mooca,03108-010
Avenida Dois,3173,,São Paulo,SP,Parque Nações Unidas,02996-150
Avenida Ceci,3276,2265,São Paulo,SP,Planalto Paulista,04065-901
Avenida Ceci,3088,de 1471/1472 a 1679/1680,São Paulo,SP,Planalto Paulista,04065-002
Avenida Alda,1564,,São Paulo,SP,Eldorado,04476-240
Avenida Ceci,2121,1745,São Paulo,SP,Planalto Paulista,04065-900
Avenida Ceci,4477,de 0561/562 a 1469/1470,São Paulo,SP,Planalto Paulista,04065-001
Avenida Coca,4971,,São Paulo,SP,Vila Curuçá,08030-000
Avenida Dois,284,,São Paulo,SP,Colônia (Zona Leste),08260-430
Avenida Ceci,3864,de 1951/1952 ao fim,São Paulo,SP,Planalto Paulista,04065-004
Avenida Ceci,3581,até 559/0560,São Paulo,SP,Planalto Paulista,04065-000
Avenida Arno,1526,146,São Paulo,SP,Mooca,03108-900
Avenida Ceci,4607,de 1681/1682 a 1949/1950,São Paulo,SP,Planalto Paulista,04065-003
Avenida Ogum,2880,,São Paulo,SP,Jardim Novo Horizonte,04856-240
Avenida Luca,2332,,São Paulo,SP,Chácara Mafalda,03370-010
Avenida Rudge,882,700,São Paulo,SP,Barra Funda,01134-901
Avenida Moaci,4072,de 701/702 a 1019/1020,São Paulo,SP,Planalto Paulista,04083-002
Avenida Moema,1966,55,São Paulo,SP,Planalto Paulista,04077-907
Avenida Iraí,3148,até 349/350,São Paulo,SP,Indianópolis,04082-000
Avenida Iraí,2193,666,São Paulo,SP,Indianópolis,04082-970
Avenida Moema,787,84,São Paulo,SP,Moema,04077-900
Avenida Iraí,4086,393,São Paulo,SP,Indianópolis,04082-905
Avenida Moaci,185,de 1801/1802 ao fim,São Paulo,SP,Planalto Paulista,04083-005
Avenida Moema,3611,265,São Paulo,SP,Planalto Paulista,04077-910
Avenida Valle,860,,São Paulo,SP,Parque Paulistano,08081-070
